restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location
# Momo,4.2,200,34,0,0,0,0,0,0,Durgapur
#99,4.1,100,31,0,0,0,0,0,0,Bareilly
#BBQ,3.6,200,57,0,0,1,0,0,0,Mangalore
#Dilliwaala6,3.7,100,38,0,1,0,1,0,0,Puducherry
#FlyFree,4,200,26,0,0,1,0,0,0,Ajmer
#Foodiz,3.5,100,23,0,1,1,0,0,0,Udaipur
#Hashtag Momos,4.3,300,25,0,0,1,0,0,0,Jaipur
#PB Patiala Bites,4,350,47,0,1,1,0,0,0,Udaipur
'@ Pizza,4,200,71,0,0,0,0,0,0,Kolkata
'@ Spirants Chai,4.2,150,24,0,0,0,0,0,0,Gaya
'@69 Food Zone,3.7,200,35,0,1,0,0,0,0,Kolkata
0265 Burgers & Pizzas,4.5,150,24,0,0,1,0,0,0,Vadodara
0612 Road Chef Online,4.2,250,35,0,1,0,0,1,0,Patna
07 Bakery,2.7,150,23,0,0,0,0,0,1,Kota
1 Bake Shop,4,100,38,0,0,1,0,0,1,Bhubaneswar
1 Bake Shop,4.1,100,24,0,0,1,0,0,1,Cuttack
10 Downing Street,4.3,150,24,0,1,0,0,0,0,Vijayawada
10 Dur's,4.1,200,20,0,1,0,0,0,0,Ludhiana
10 Hour's Family Restaurant,3.8,200,32,0,1,1,0,1,0,Patna
10 Muffins,4.4,600,37,0,0,0,0,0,0,Chennai
10 Park Street Cafe & Kitchen,4.2,300,34,0,1,0,0,0,0,Gorakhpur
10 To 10 Restaurants & Party Hall,3,100,26,1,1,0,0,0,0,Patna
100 Foodies,3.8,100,27,0,0,1,1,0,0,Kota
1000 BC,3.6,150,51,0,1,0,0,0,0,Kolkata
100N,4.1,50,55,0,0,1,0,0,0,Hyderabad
11 July Fine Dine Restaurant,3.8,150,39,0,1,0,0,0,0,Guwahati
11 Spices Multi Cusine Restaurant,3.5,150,49,0,0,0,0,1,0,Hyderabad
11 Star Cakes,3.7,100,27,0,0,0,0,0,1,Meerut
11-11 Flash Back,4.2,150,25,0,0,0,0,0,0,Salem
11-11 The Food Station,4.1,100,28,0,0,1,0,0,0,Salem
11th Avenue Cafe Bistro,3.7,400,48,0,0,0,0,0,0,Guwahati
11th Avenue Cafe Bistro,4,150,53,0,0,1,0,0,0,Guwahati
11To11,4.4,100,25,0,0,1,0,0,0,Salem
1211 Pizza Point,4,150,45,0,0,1,0,0,0,Lucknow
12-3 AM Biryani,3.1,200,28,0,1,1,1,0,0,Vijayawada
13 Shawarma,4,150,30,0,0,1,0,0,0,Mumbai
143 Cake House,3.8,100,28,0,0,0,0,0,1,Jalandhar
1441 Pizzeria,3.8,100,39,0,0,0,0,0,0,Surat
1441 Pizzeria,3.8,150,36,0,0,1,0,0,0,Pune
1441 Pizzeria,4,100,30,0,0,1,0,0,0,Mumbai
